City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,maryville,35.7565,-83.9705,9.710000000000036,84,0,0.89,US,2022-11-29 03:30:38
135,hasaki,35.7333,140.8333,22.379999999999995,71,94,12.42,JP,2022-11-29 03:34:42
136,souillac,-20.5167,57.5167,25.210000000000036,83,75,2.57,MU,2022-11-29 03:32:18
137,rafai,4.95,23.9167,19.850000000000023,94,79,0.64,CF,2022-11-29 03:34:42
138,pallasovka,50.05,46.8833,-6.109999999999957,61,0,5.16,RU,2022-11-29 03:34:43
139,oskemen,49.9565,82.6119,-35.01999999999998,74,20,1.0,KZ,2022-11-29 03:34:43
140,beringovskiy,63.05,179.3167,0.8600000000000136,98,100,6.15,RU,2022-11-29 03:34:43
141,naze,28.3667,129.4833,26.510000000000048,81,100,7.28,JP,2022-11-29 03:34:44
142,fereydunshahr,32.941,50.121,2.930000000000007,36,44,1.71,IR,2022-11-29 03:34:44
143,kavaratti,10.5669,72.642,27.54000000000002,69,75,1.27,IN,2022-11-29 03:32:07
144,camacha,33.0833,-16.3333,17.680000000000007,59,40,5.14,PT,2022-11-29 03:34:45
145,le vauclin,14.5452,-60.8388,26.03000000000003,78,75,7.2,MQ,2022-11-29 03:30:22
146,harper,4.375,-7.7169,24.99000000000001,84,37,2.99,LR,2022-11-29 03:34:45
147,maceio,-9.6658,-35.7353,24.689999999999998,94,75,1.54,BR,2022-11-29 03:34:46
148,airai,-8.9266,125.4092,22.360000000000014,71,76,2.06,TL,2022-11-29 03:30:08
149,touba,8.2833,-7.6833,20.700000000000045,65,50,1.62,CI,2022-11-29 03:34:47
150,kaniama,-7.5667,24.1833,18.120000000000005,99,100,1.77,CD,2022-11-29 03:34:47
151,pavlodar,52.3,76.95,-30.109999999999985,69,0,2.0,KZ,2022-11-29 03:34:47
152,alappuzha,9.49,76.3264,26.760000000000048,75,91,0.78,IN,2022-11-29 03:34:48
153,prado,-17.3411,-39.2208,23.189999999999998,93,100,5.51,BR,2022-11-29 03:34:48
154,san francisco,37.7749,-122.4194,11.660000000000025,74,40,12.96,US,2022-11-29 03:25:44
155,avanigadda,16.0215,80.9181,25.510000000000048,66,6,2.29,IN,2022-11-29 03:34:49
156,leningradskiy,69.3833,178.4167,-13.539999999999964,85,100,2.87,RU,2022-11-29 03:34:49
157,bambous virieux,-20.3428,57.7575,26.230000000000018,83,75,2.57,MU,2022-11-29 03:32:51
158,bengkulu,-3.8004,102.2655,28.680000000000007,66,99,1.64,ID,2022-11-29 03:34:50
159,lavrentiya,65.5833,-171.0,-9.099999999999966,91,63,1.26,RU,2022-11-29 03:34:50
160,arraial do cabo,-22.9661,-42.0278,22.80000000000001,92,90,8.64,BR,2022-11-29 03:34:51
161,port alfred,-33.5906,26.891,17.32000000000005,88,16,0.89,ZA,2022-11-29 03:34:51
162,gandhidham,23.0833,70.1333,25.02000000000004,26,3,3.17,IN,2022-11-29 03:34:51
163,klaksvik,62.2266,-6.589,8.510000000000048,86,9,4.2,FO,2022-11-29 03:33:04
164,alofi,-19.0595,-169.9187,27.939999999999998,65,75,6.69,NU,2022-11-29 03:32:06
165,mitu,1.1983,-70.1733,21.640000000000043,99,87,1.05,CO,2022-11-29 03:34:52
166,ilovlya,49.3033,43.9796,-4.8700000000000045,60,21,5.18,RU,2022-11-29 03:34:53
167,barrow,71.2906,-156.7887,-26.98999999999998,69,0,4.63,US,2022-11-29 03:34:53
168,talnakh,69.4865,88.3972,-22.599999999999966,99,100,3.42,RU,2022-11-29 03:34:53
169,tomatlan,19.9333,-105.25,20.370000000000005,85,6,1.38,MX,2022-11-29 03:34:54
170,koshurnikovo,54.1667,93.3,-19.149999999999977,92,100,0.89,RU,2022-11-29 03:34:54
171,port elizabeth,-33.918,25.5701,18.510000000000048,92,20,5.14,ZA,2022-11-29 03:30:34
172,half moon bay,37.4636,-122.4286,11.620000000000005,76,0,9.77,US,2022-11-29 03:34:55
173,huambo,-12.7761,15.7392,13.490000000000009,96,91,1.1,AO,2022-11-29 03:34:55
174,tiksi,71.6872,128.8694,-33.309999999999974,99,45,3.28,RU,2022-11-29 03:33:25
175,waynesville,35.4887,-82.9887,7.6299999999999955,90,0,1.79,US,2022-11-29 03:31:15
176,pocatello,42.8713,-112.4455,-2.0499999999999545,87,100,7.6,US,2022-11-29 03:34:56
177,pevek,69.7008,170.3133,-8.739999999999952,74,98,5.72,RU,2022-11-29 03:34:56
